"Date","Site","Depth","Temp_interp","DO_mgL_interp","Chla_interp","Turb_NTU_interp","SpCond_uScm_interp","week_julian","week_series","week_cum"
2013-05-02,50,0.1,16.802,8.93689,0.25,1.0456,37.4230494433248,17,1,1
2013-05-09,50,0.1,14.6519,8.77974,0.0714,0.1896,36.605894906706,18,2,2
2013-05-15,50,0.1,16.4003,8.73976,1.1268,2.8584,37.116951826963,19,3,3
2013-05-23,50,0.1,21.0439,8.86852,2.5907,1.2638,37.3173665670282,20,4,4
2013-05-30,50,0.1,22.1139,8.63825,1.5116,0.9953,37.610103528032,21,5,5
2013-06-06,50,0.1,21.9342,6.64156,1.095,1.5995,37.1162065408469,22,6,6
2013-06-13,50,0.1,23.6155,8.96649,2.3249,2.0695,37.0997334976245,23,7,7
2013-06-20,50,0.1,22.9495,7.45937,1.8925,0.7267,37.5744160979906,24,8,8
2013-06-27,50,0.1,25.412,9.16612,0.369,1.3478,38.9619446650418,25,9,9
2013-07-03,50,0.1,24.0484,8.03585,4.0547,1.801,37.5314022535434,26,10,10
2013-07-15,50,0.1,23.6396,7.36561,3.8999,5.9133,35.6461363749578,27,11,11
2013-07-22,50,0.1,25.6721,5.63641,3.9475,3.0598,36.1648073894133,28,12,12
2013-07-29,50,0.1,24.4282,5.62939,2.7177,1.9017,37.7174809420105,29,13,13
2013-08-01,50,0.1,23.2921,7.1313,2.9517,1.3478,37.687002565106,30,14,14
2013-08-12,50,0.1,27.0352,5.39555,0.7737,1.566,38.2464228135369,31,15,15
2013-08-18,50,0.1,25.9375333333333,6.30392,1.29606666666667,1.29743333333333,38.7041920809987,32,16,16
2013-08-23,50,0.1,24.8398666666667,7.21229,1.81843333333333,1.02886666666667,39.1619613484605,33,17,17
2013-08-28,50,0.1,23.7422,8.12066,2.3408,0.7603,39.6197306159223,34,18,18
2013-09-06,50,0.1,22.6039,8.02040666666667,2.3183,0.7603,40.1559606039934,35,19,19
2013-09-13,50,0.1,21.4656,7.92015333333333,2.2958,0.7603,40.6921905920646,36,20,20
2013-09-18,50,0.1,20.3273,7.8199,2.2733,0.7603,41.2284205801357,37,21,21
2013-09-25,50,0.1,19.4967,8.20233,3.162,1.3813,41.0539713188583,38,22,22
2013-10-04,50,0.1,18.8543666666667,8.34404333333333,3.82056666666667,1.43726666666667,41.1012477857173,39,23,23
2013-10-11,50,0.1,18.2120333333333,8.48575666666667,4.47913333333333,1.49323333333333,41.1485242525763,40,24,24
2013-10-16,50,0.1,17.5697,8.62747,5.1377,1.5492,41.1958007194353,41,25,25
2013-10-23,50,0.1,15.1589,8.43282,4.8838,2.6066,41.5970203451455,42,26,26
2013-10-30,50,0.1,13.3158,9.20845,5.4393,2.1702,42.2654953688944,43,27,27
2014-05-05,50,0.1,16.9798,8.70707,0.4959,1.5492,34.4844922176433,17,1,28
2014-05-10,50,0.1,20.6814,8.53946,2.6383,1.096,34.0854567633431,18,2,29
2014-05-19,50,0.1,17.4641,8.81669,0.8173,1.6331,32.1200599987634,19,3,30
2014-05-22,50,0.1,20.0705,8.80407,0.9284,0.9281,32.3575367152417,20,4,31
2014-06-02,50,0.1,21.6818,8.95817,1.7893,0.6932,31.8735198277026,21,5,32
2014-06-04,50,0.1,22.5374,8.34972,1.214,0.4917,32.267755160702,22,6,33
2014-06-16,50,0.1,24.1882,8.27992,0.5594,0.5757,32.0795038981523,23,7,34
2014-06-23,50,0.1,24.9734,8.17872,2.4003,0.7939,32.4270318778158,24,8,35
2014-06-25,50,0.1,25.306,8.17342,2.1821,0.7267,32.7551611849385,25,9,36
2014-07-07,50,0.1,24.5992,7.94662,1.2656,0.6932,32.4413869003102,26,10,37
2014-07-09,50,0.1,25.3279,7.79643,1.0672,0.4917,32.6544557357173,27,11,38
2014-07-16,50,0.1,25.6007,7.94724,1.4521,0.4917,32.4566864276417,28,12,39
2014-07-28,50,0.1,24.9737,7.85678,1.5989,1.0121,32.3738833728347,29,13,40
2014-08-04,50,0.1,23.715,8.20116,1.4521,1.096,32.5078863075903,30,14,41
2014-08-10,50,0.1,22.5459,7.43981,3.9753,3.5802,32.6772393709802,31,15,42
2014-08-13,50,0.1,22.5351,8.08226,1.5909,3.0934,32.1540442186562,32,16,43
